tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0445934,Blades of Glory,actress,6.0,Amy Poehler,93,DreamWorks,-1
tt0419984,Mr. Woodcock,actress,5.0,Amy Poehler,87,"Avery Pix, Landscape Entertainment",-1
tt0326856,Envy,actress,5.0,Amy Poehler,99,"Columbia Pictures, Castle Rock Entertainment, NPV Entertainment, DreamWorks Pictures, Baltimore Spring Creek Productions, Nu Image / Millennium Films",-1
tt0278723,The Skulls II,writer,5.0,John Pogue,99,"Original Film, Newmarket Capital Group, Universal Home Entertainment",-1
tt0303933,Drumline,actor,6.0,Earl Poitier,118,Fox 2000 Pictures,1
tt0373283,Saints and Soldiers,actor,7.0,Alexander Polinsky,90,Excel Entertainment,-1
tt0469263,The Astronaut Farmer,writer,6.0,Mark Polish,104,Polish Brothers Construction,0
tt0469263,The Astronaut Farmer,writer,6.0,Michael Polish,104,Polish Brothers Construction,0
tt0250310,Corky Romano,production_designer,5.0,Peter Politanoff,86,"Robert Simonds Productions, Touchstone Pictures",1
tt0373908,The Honeymooners,actor,4.0,Jon Polito,90,Paramount Pictures,-1
tt0239641,Mimic 2,actor,5.0,Jon Polito,82,"Neo Art & Logic, Dimension Films",-1
tt0201394,The Shrink Is In,actor,5.0,Jon Polito,92,,-1
tt0283090,29 Palms,actor,5.0,Jon Polito,93,"George Street Pictures, Ben's Sister Productions, Release Entertainment, B. Lord Productions, Davis Entertainment Filmworks",-1
tt0306047,Scary Movie 3,editor,6.0,Jon Poll,84,"Dimension Films, Brad Grey Pictures",3
tt0337656,Keep Your Distance,producer,5.0,Stu Pollard,94,"Lunacy Unlimited Productions, Blue & Grey Film Ventures",-1
tt0239395,Cats & Dogs,actor,5.0,Alexander Pollock,87,"Village Roadshow Pictures, NPV Entertainment, Mad Chance, Zide-Perry Productions, Warner Bros., BenderSpink",0
tt0274558,The Hours,casting_director,8.0,Patsy Pollock,110,"Paramount Pictures, Miramax Films, Scott Rudin Productions",0
tt0437179,See No Evil,actress,5.0,Cecily Polson,84,"Lions Gate Films, WWE Studios",-1
